MLS#,Original List Price,Rented Price,Price Change,Percentage Change,SF,Price/SF,List Date,Rented Date,Calculated DOM,Year Built,Pool,Waterfront,Pets Allowed,GAR,Last List Price,Available Date,Last Status Change Date,System DOM,City Name,State,Zip Code,Subdivision Name,BE,BA
A11666465,"$4,200 ","$3,950 ",$250 ,5.95%,"1,200",3.29,09/26/2024,01/08/2025,104,2008,Yes,No,Yes,1,"$4,000 ",11/18/2024,01/08/2025,104,Miami,FL,33131,500 BRICKELL WEST CONDO,2,2
A11689909,"$4,200 ","$4,050 ",$150 ,3.57%,986,4.11,11/07/2024,01/07/2025,61,2008,Yes,No,Yes,0,"$4,050 ",11/08/2024,01/16/2025,34,Miami,FL,33131,THE PLAZA,2,2
A11691369,"$3,550 ","$3,550 ",$0 ,0.00%,880,4.03,12/02/2024,01/06/2025,35,2018,Yes,No,Yes,1,"$3,550 ",12/02/2024,01/18/2025,47,Miami,FL,33132,CANVAS CONDO,2,2
A11686675,"$4,200 ","$4,100 ",$100 ,2.38%,"1,373",2.99,11/04/2024,01/06/2025,63,2015,Yes,No,Yes,1,"$4,200 ",11/05/2024,02/03/2025,49,Miami,FL,33130,NINE AT MARY BRICKELL VIL,2,2
A11709992,"$4,250 ","$4,250 ",$0 ,0.00%,"1,120",3.79,12/16/2024,01/06/2025,21,2008,Yes,Yes,No,1,"$4,250 ",01/01/2025,01/07/2025,14,Miami,FL,33131,THE PLAZA 901 BRICKELL CO,2,2
A11691145,"$3,100 ","$2,950 ",$150 ,4.84%,"1,260",2.34,11/11/2024,01/03/2025,53,2007,Yes,No,Yes,1,"$3,100 ",11/11/2024,01/03/2025,29,Miami,FL,33156,TOSCANO CONDO,2,2
A11709803,"$3,950 ","$3,950 ",$0 ,0.00%,"1,142",3.46,12/15/2024,01/01/2025,17,2007,Yes,Yes,Yes,1,"$3,950 ",01/01/2025,01/16/2025,15,Miami,FL,33132,1800 CLUB CONDO,2,2
A11638991,"$3,200 ","$2,950 ",$250 ,7.81%,815,3.62,08/13/2024,01/01/2025,141,2018,Yes,No,Yes,2,"$3,000 ",08/12/2024,01/21/2025,139,Miami,FL,33137,26 EDGEWATER CONDO,2,2
A11645054,"$4,400 ","$4,000 ",$400 ,9.09%,"1,373",2.91,08/24/2024,01/01/2025,130,2015,Yes,No,Yes,1,"$4,400 ",09/01/2024,02/03/2025,107,Miami,FL,33130,NINE AT MARY BRICKELL VIL,2,2
A11635102,"$4,600 ","$4,500 ",$100 ,2.17%,"1,226",3.67,08/03/2024,01/01/2025,151,2016,Yes,No,No,1,"$4,500 ",09/01/2024,01/02/2025,152,Miami,FL,33137,THE CRIMSON CONDO,2,2
A11653891,"$3,350 ","$3,250 ",$100 ,2.99%,"1,068",3.04,09/05/2024,12/31/2024,117,2008,Yes,No,Yes,1,"$3,250 ",09/05/2024,12/31/2024,109,Miami,FL,33137,GALLERY ART CONDO,2,2
